LedgerID;LedgerName;VendorID;DUNS;LocalBusinessNumber;VATNumber;CompanyName;Address1;Address2;Town;County/State/Province;PostCode;Telephone;Fax;Country;LegalCode;LegalFormPM;OutOfBusinessIndicator;StartYear;PrimarySICCode;HeadQuarterDuns;DomesticUltimateDuns;DomesticUltimateCountry;DomesticUltimateCompanyName;GlobalUltimateDuns;GlobalUltimateCountry;GlobalUltimateCompanyName;CompanyEmployees;NetSales;NetWorth;TotalAssets;CurrentAssets;CurrentLiabilities;FinancialStrength;RiskRating;PMFailureAssignedScore;DBFailureScoreCurrent;DBFailureScore3Month;DBFailureScore6Month;DBFailureScore9Month;DBFailureScore12Month;CReditLimit;OriginalOverrideCode;DBDelinquencyScore;PaymentScore;DBCurrency
116561;CS;1009275;380975672;3,43721E+13;;CHIMIE TECH SERVICES;ZONE INDUSTRIELLE 5 7;5 RUE MARCELLIN BERTHELOT;ANTONY;HAUTS-DE-SEINE;92160;155595575;155595590;FR;37227;Public Company;;1988;5169;380975672;275348852;FR;COMPTOIR COMMERCIAL D'IMPORTATION;275348852;FR;COMPTOIR COMMERCIAL D'IMPORTATION;18;10674366.00;1902299.00;3806664.00;3586594.00;1617557.00;1A ;1;77;77;76;77;77;77;293000.00;;;75;EUR
116561;CS;1005388;432166946;BS514049;3207360987;ARON SRL;VIA GUGLIELMO GHISLANDI 47;;BRESCIA;BRESCIA;25125;302586430;302584805;IT;1867;Private Limited Company;;2010;5169;432166946;438060154;IT;AIR LIQUIDE ITALIA SPA;275260909;FR;L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE;14;4892179.00;1521885.00;3886160.00;3400241.00;2074548.00;1A ;1;94;94;94;98;96;96;330000.00;;99;79;EUR
116561;CS;4094;439125071;MI1282163;9288810154;DPI DISTRIBUZIONE PRODOTTI INDUSTRIALI SRL;VIA ISACCO NEWTON 2;;CASSANO D'ADDA;MILANO;20062;363361473;;IT;1867;Private Limited Company;;1988;5065;439125071;;;;;;;4;2853726.00;232194.00;1826703.00;1237645.00;784647.00;C  ;3;13;13;36;43;83;83;15000.00;;71;74;EUR
116561;CS;5023;446858771;MI1446523;11212060153;E.O.I. TECNE SRL;VIA BENVENUTO GAROFALO 24;;MILANO;MILANO;20133;270602434;22665226;IT;1867;Private Limited Company;;1994;5084;446858771;;;;;;;11;3027695.00;506462.00;1627371.00;1587653.00;805912.00;A  ;2;84;84;84;93;90;90;210000.00;;82;75;EUR
116561;CS;105128;428185367;MI83498;741170153;EMANUELE MASCHERPA SPA;VIA NATALE BATTAGLIA 0039;;MILANO;MILANO;20127;2280031;22829945;IT;1868;Public Company;;1904;5084;428185367;428185367;IT;EMANUELE MASCHERPA SPA;428185367;IT;EMANUELE MASCHERPA SPA;57;43105265.00;44634952.00;48611462.00;32880618.00;3258379.00;4A ;1;100;100;100;100;100;100;4300000.00;;100;74;EUR
116561;CS;1006359;431276543;BS513695;3201200981;ERREGRAFICA SRL;VIA EUROPA 2;;PROVAGLIO D'ISEO;BRESCIA;25050;;;IT;1867;Private Limited Company;;2010;5099;431276543;;;;;;;2;840264.00;84422.00;881007.00;651774.00;392856.00;E  ;2;71;71;71;71;36;36;29000.00;;98;80;EUR
116561;CS;106058;429058286;BG402834;1063200172;FAUSTINELLI FRANCESCO;VIA BATTISTI 26;;COSTA VOLPINO;BERGAMO;24062;;;IT;6150;Proprietorship;;1979;3449;429058286;;;;;;;1;;;;;;E  ;1;91;91;91;91;91;91;28000.00;;75;80;EUR
116561;CS;1002166;435567896;CR102806;400840195;LSI SRL;VIA DELLA PIERINA 33;;CREMA;CREMONA;26013;37386514;373257039;IT;1867;Private Limited Company;;1979;2754;435567896;;;;;;;27;2868073.00;543166.00;2834966.00;1382834.00;1156274.00;A  ;1;98;98;98;92;92;92;150000.00;;100;80;EUR
116561;CS;1002559;428621569;NO239871;716680152;MACDERMID ALPHA ITALY SRL;VIA VIGEVANO 61;SAN MARTINO;TRECATE;NOVARA;28069;;;IT;1867;Private Limited Company;;1967;5051;428621569;428621569;IT;MACDERMID ALPHA ITALY SRL;489028195;NL;MacDermid Netherlands Coöperatief W.A.;6;20956915.00;7664297.00;8528526.00;8277323.00;623860.00;2A ;2;55;55;55;24;24;24;1300000.00;;33;56;EUR
116561;CS;1007752;433663564;MB1212635;2920620016;OERLIKON BALZERS COATING ITALY SPA;VIA VOLTURNO 37;;BRUGHERIO;MONZA E BRIANZA;20861;39289901;392872576;IT;1868;Public Company;;1983;3479;433663564;433663564;IT;OERLIKON BALZERS COATING ITALY SPA;480008051;CH;OC Oerlikon Corporation AG, Pfäffikon;92;14145384.00;11427007.00;15986566.00;7010043.00;4226992.00;3A ;1;98;98;98;95;95;95;130000.00;;91;74;EUR
116561;CS;1002371;339170755;CO255869;2345520130;SERITECNO SRL;VIA ISONZO 14/A;;TURATE;COMO;22078;296754209;296755111;IT;1867;Private Limited Company;;1997;2796;339170755;;;;;;;15;3493358.00;1264383.00;2422005.00;1746831.00;591187.00;1A ;2;78;78;78;94;94;94;160000.00;;100;80;EUR
116561;CS;118103;428699789;TO181827;467850012;SISRAM SPA;VIA PIETRO PALMIERI 27;;TORINO;TORINO;10138;114404444;114404400;IT;1868;Public Company;;1945;5051;428699789;;;;;;;19;6989560.00;4645781.00;6418288.00;6364980.00;1081647.00;2A ;1;98;98;98;78;78;78;790000.00;;83;78;EUR
116561;CS;119114;654760834;BS359603;3329520179;TEKNOMILL SRL;VIA EUROPA 100;CAMIGNONE;PASSIRANO;BRESCIA;25050;306850771;306850782;IT;1867;Private Limited Company;;1995;5099;654760834;;;;;;;2;901700.00;116514.00;1155588.00;1114203.00;968376.00;D  ;2;60;60;60;43;43;43;34000.00;;95;76;EUR
116561;CS;1006355;544243681;BO445053;2506991203;THEMA SPA;VIALE LINO ZANUSSI 6/C;;PORDENONE;PORDENONE;33170;434572677;434572686;IT;1868;Public Company;;2004;2679;544243681;;;;;;;53;12354088.00;7042669.00;12418993.00;8996639.00;3826116.00;2A ;1;100;100;100;97;97;97;950000.00;;92;80;EUR
116561;CS;1004671;174341628;;42947434;Creative Materials, Inc.;12 Willow Rd;;Ayer;Massachusetts;14325513;978 391-4700;;US;3;Private Limited Company;;1987;2899;174341628;;;;;;;14;;;;;;1R ;2;90;90;90;90;90;90;25000.00;;100;80;USD
116562;DIS;1004901;317919199;80333B52181;129352092;Future Electronics Deutschland GmbH;Max-Planck-Str. 3;;Aschheim;Bayern;85609;089/957270;;DE;7113;Private Limited Company;;1977;5065;317919199;317919199;DE;Future Electronics Deutschland GmbH;205575611;CA;Investissements Alonim Inc, Les;417;178941785.00;19282970.00;68822084.00;47883214.00;47774694.00;3A ;1;95;95;98;98;98;;1611000.00;;;74;EUR
116562;DIS;17007;428203384;MI449834;751300153;ARROW ELECTRONICS ITALIA SRL;VIALE DELL'INNOVAZIONE 3;;MILANO;MILANO;20126;292909018;471099100;IT;1867;Private Limited Company;;1954;5065;428203384;516892598;IT;ARROW ELECTRONICS EMEASA SRL;49159957;US;Arrow Electronics, Inc.;289;405403154.00;267206079.00;343456411.00;272627818.00;72206011.00;5A ;2;67;4;;;;;52000000.00;12025;5;66;EUR
116562;DIS;1002840;435784848;MI1098988;827240961;AVNET EMG ITALY SRL;CORSO ITALIA 8;;MILANO;MILANO;20122;261359238;;IT;1867;Private Limited Company;;1982;5099;435784848;435784848;IT;AVNET EMG ITALY SRL;6995419;US;Avnet, Inc.;169;270274360.00;11782460.00;102391192.00;99805527.00;87591619.00;3A ;2;67;92;;;;;4300000.00;12025;82;78;EUR
116562;DIS;12046;435784848;MI1098988;827240961;AVNET EMG ITALY SRL;CORSO ITALIA 8;;MILANO;MILANO;20122;261359238;;IT;1867;Private Limited Company;;1982;5099;435784848;435784848;IT;AVNET EMG ITALY SRL;6995419;US;Avnet, Inc.;169;270274360.00;11782460.00;102391192.00;99805527.00;87591619.00;3A ;2;67;92;;;;;4300000.00;12025;82;78;EUR
116562;DIS;1003469;856973172;MB1858144;5328060966;DARTON SRL;VIA GIUSEPPE DI VITTORIO 307/2;;SESTO SAN GIOVANNI;MILANO;20099;;37483529;IT;1867;Private Limited Company;;2006;5065;856973172;;;;;;;30;17990293.00;4499365.00;11267848.00;9755469.00;4153045.00;2A ;1;97;97;97;99;98;98;2100000.00;;83;79;EUR
116562;DIS;1002779;446936114;MI1417733;10904440152;EBV ELEKTRONIK SRL;VIA ALESSANDRO MANZONI 44;;CUSANO MILANINO;MILANO;20095;2660961;266017020;IT;1867;Private Limited Company;;1993;5065;446936114;446936114;IT;EBV ELEKTRONIK SRL;6995419;US;Avnet, Inc.;73;122647071.00;90023525.00;100931983.00;100450347.00;9079440.00;5A ;1;99;99;99;99;52;52;16000000.00;;100;79;EUR
116562;DIS;1006164;430164663;MI1971537;7620460969;EL.ITALIA SRL;VIA IV NOVEMBRE 72;;SETTIMO MILANESE;MILANO;20019;233611626;226261009;IT;1867;Private Limited Company;;1980;5065;430164663;;;;;;;7;1815780.00;1144849.00;2146703.00;1207080.00;355293.00;1A ;1;95;95;95;92;31;31;150000.00;;68;75;EUR
116562;DIS;11033;428186068;MI482061;741650154;MELCHIONI SPA;VIA PIETRO COLLETTA 37;;MILANO;MILANO;20135;257941;255181914;IT;1868;Public Company;;1947;5065;428186068;428186068;IT;MELCHIONI SPA;428186068;IT;MELCHIONI SPA;132;105125889.00;36366659.00;103623386.00;56380584.00;54299656.00;4A ;3;23;23;23;88;80;88;3000000.00;;89;74;EUR
116562;DIS;11091;432060499;BO245210;2015140375;MODULI ELETTRONICI E COMPONENTI SPA;VIA DELLA SALUTE 34/1;;BOLOGNA;BOLOGNA;40132;516418111;516414342;IT;1868;Public Company;;1978;5065;432060499;432060499;IT;MODULI ELETTRONICI E COMPONENTI SPA;432060499;IT;MODULI ELETTRONICI E COMPONENTI SPA;46;21163649.00;17823073.00;26975836.00;24057852.00;3305753.00;3A ;1;98;98;94;95;95;95;1800000.00;;86;80;EUR
116562;DIS;9159;429406564;MI1071417;7562160155;SCHURTER ELECTRONICS SPA;VIA LUIGI SETTEMBRINI 29;;LAINATE;MILANO;20045;230465311;233200917;IT;1868;Public Company;;1981;5065;429406564;429406564;IT;SCHURTER ELECTRONICS SPA;482524774;CH;Schurter Holding AG;24;10057572.00;3189965.00;4829595.00;4382601.00;1148139.00;2A ;1;99;99;99;100;99;99;1200000.00;;93;73;EUR
116562;DIS;17127;428608830;MI762346;1099040154;SGE SYSCOM SPA;VIA MONTE GRAN SASSO 35;;CINISELLO BALSAMO;MILANO;20092;2617901;2611199;IT;1868;Public Company;;1968;5065;428608830;;;;;;;37;19696910.00;7662814.00;16072036.00;14952126.00;3141824.00;2A ;1;100;100;100;100;99;99;2400000.00;;93;79;EUR
116562;DIS;1002000;428205868;MI503993;845140151;SPECIAL-IND PRODOTTI SPECIALI PER L'INDUSTRIA SPA;PIAZZA SPOTORNO 3;;MILANO;MILANO;20159;26074741;266800493;IT;1868;Public Company;;1955;5099;428205868;428205868;IT;SPECIAL-IND PRODOTTI SPECIALI PER L'INDUSTRIA SPA;265342009;FR;THE JOUGIBAT COMPAGNY;45;41518184.00;7889807.00;24506683.00;20491658.00;9397472.00;2A ;1;100;100;100;97;97;97;3600000.00;;91;77;EUR
116562;DIS;18123;513855887;MI1595886;12886080154;TTI ITALY SRL;STRADA 1 PALAZZO E 5 MILANOFIORI;CENTRO DIR. MILANOFIORI;ASSAGO;MILANO;20090;2822521;282252233;IT;1867;Private Limited Company;;1999;5099;513855887;513855887;IT;TTI ITALY SRL;1024314;US;Berkshire Hathaway Inc.;70;76572855.00;29448007.00;32409850.00;31968951.00;1107136.00;4A ;3;35;35;35;35;35;35;3700000.00;;53;79;EUR
116562;DIS;21007;434967600;FI388341;3714360488;WELT ELECTRONIC SPA;VIA DELLA TRECCIA 33;;FIRENZE;FIRENZE;50145;55302631;55310400;IT;1868;Public Company;;1985;5065;434967600;;;;;;;43;21822799.00;4418335.00;20914340.00;18429351.00;6216893.00;2A ;1;100;100;100;100;98;98;2200000.00;;84;79;EUR
116568;EL;1008855;332238716;07745B202307;151282182;ELECTRONICON Kondensatoren GmbH;Keplerstr. 2;;Gera;Thüringen;7549;0365/7346100;0365/7346110;DE;7113;Private Limited Company;;1992;3699;332238716;342225787;DE;SYSTEM ELECTRIC GmbH;342225787;DE;SYSTEM ELECTRIC GmbH;557;72816458.00;35761063.00;44646094.00;31672401.00;6191890.00;4A ;1;100;100;100;100;91;;1987000.00;;;80;EUR
116568;EL;1004806;329364327;80333B93356;129371621;HY-LINE Computer Components Vertriebs GmbH;Inselkammerstr. 10;;Unterhaching;Bayern;82008;089/61450340;089/61450350;DE;7113;Private Limited Company;;1990;5065;329364327;;;;;;;25;;5454490.00;7073962.00;7006291.00;1301706.00;2A ;1;97;97;90;85;89;;411000.00;;;80;EUR
116568;EL;1000241;326705738;64283B60943;111613109;IXYS Semiconductor GmbH;Edisonstr. 15;;Lampertheim;Hessen;68623;06206/5030;06206/503408;DE;7113;Private Limited Company;;1968;3674;326705738;326705738;DE;IXYS Semiconductor GmbH;5212246;US;Littelfuse, Inc.;398;128940034.00;81576889.00;120728525.00;104041369.00;26006289.00;5A ;1;91;91;93;93;80;;1053000.00;;;75;EUR
116568;EL;1009018;333296726;47798B10196;234983729;Jianghai Europe Electronic Components GmbH;Uerdinger Str. 125;;Krefeld;Nordrhein-Westfalen;47799;02151/6520880;02151/65208888;DE;7113;Private Limited Company;;2004;5065;333296726;507525397;DE;HID-Europe GmbH + Co. KG;507525397;DE;HID-Europe GmbH + Co. KG;8;;86671.00;5410982.00;5244133.00;5242993.00;E  ;2;79;79;79;81;75;;129000.00;;;80;EUR
116568;EL;1008310;329318190;64283B54462;;LEM Europe GmbH;Frankfurter Str. 74;;Groß-Gerau;Hessen;64521;06152/93010;06152/84661;DE;7113;Private Limited Company;;1990;5084;329318190;329318190;DE;LEM Europe GmbH;481800639;CH;LEM HOLDING SA;43;85950000.00;;;;;1A ;1;95;95;95;91;92;;807000.00;;;80;EUR
116568;EL;1008213;315906206;80333B210834;121638797;TDK Europe GmbH;Rosenheimer Str. 141e;;München;Bayern;81671;089/540200;089/540202913;DE;7113;Private Limited Company;;1972;5065;315906206;324449461;DE;TDK Electronics AG;690551346;JP;TDK CORPORATION;215;1052997387.00;55951631.00;305474356.00;294302208.00;212230901.00;5A ;2;75;75;85;85;84;;950000.00;;;69;EUR
116568;EL;1002693;315256719;63450A5479;811148525;Vacuumschmelze GmbH & Co. KG;Grüner Weg 37;;Hanau;Hessen;63450;06181/380;06181/382645;DE;7118;Other;;1923;3699;315256719;314474127;DE;VAC Germany Holding GmbH;492589271;NL;New VAC Ultimate Holdings B.V.;1394;330604000.00;94248000.00;391825000.00;261020000.00;105916000.00;5A ;1;99;99;86;89;82;;3451000.00;;;71;EUR
116568;EL;1005890;739414493;5194222;;Falco Electronics Ltd;C/o Clarkson Hyde Llp;Chancery House;Sutton;Surrey;SM1 1JB;;;GB;2547;Private Limited Company;;2004;7379;739414493;739414493;GB;FALCO ELECTRONICS LTD;669004434;HK;FALCO LIMITED;1;;461342.00;569558.00;569558.00;108216.00;A  ;1;99;99;99;94;96;96;49000.00;;60;;GBP
116568;EL;1006389;739414493;5194222;;Falco Electronics Ltd;C/o Clarkson Hyde Llp;Chancery House;Sutton;Surrey;SM1 1JB;;;GB;2547;Private Limited Company;;2004;7379;739414493;739414493;GB;FALCO ELECTRONICS LTD;669004434;HK;FALCO LIMITED;1;;461342.00;569558.00;569558.00;108216.00;A  ;1;99;99;99;94;96;96;49000.00;;60;;GBP
116568;EL;4044;429278864;RM425103;1154881005;2 B ELETTRONICA SRL;VIA AURELIA 424;;ROMA;ROMA;165;66621942;66632956;IT;1867;Private Limited Company;;1978;5065;429278864;;;;;;;6;1590772.00;400704.00;2479143.00;788808.00;1852269.00;B  ;3;10;10;10;57;57;57;13000.00;;73;76;EUR
116568;EL;1003941;428217194;MI1513225;11988960156;ABB SPA;VIA LUCIANO LAMA 33;;SESTO SAN GIOVANNI;MILANO;20099;224141;224142421;IT;1868;Public Company;;1952;3699;428217194;428217194;IT;ABB SPA;480657126;CH;ABB Ltd;5007;1760403109.00;564786190.00;1582760675.00;1281522209.00;696697864.00;5A ;2;48;48;48;98;97;97;89000000.00;12025;94;77;EUR
116568;EL;1263;441014313;MI1120279;6800090158;AGENCAVI SRL;VIA GUGLIELMO MARCONI 4;;LISCATE;MILANO;20050;295344550;295344560;IT;1867;Private Limited Company;;1983;5063;441014313;339836465;IT;DACHIAL SRL;339836465;IT;DACHIAL SRL;16;12096747.00;4955376.00;9999048.00;9743570.00;4484077.00;2A ;1;98;98;98;100;100;100;1300000.00;;100;78;EUR
116568;EL;3054;428050777;BS168910;541390175;CEMBRE SPA;VIA SERENISSIMA 9;;BRESCIA;BRESCIA;25135;;;IT;1868;Public Company;;1969;3699;428050777;432726359;IT;LYSNE SPA;432726359;IT;LYSNE SPA;451;101409755.00;140784959.00;188437940.00;85329816.00;40822775.00;5A ;1;98;98;98;100;99;99;6300000.00;;95;78;EUR
116568;EL;1000628;442703299;MO322110;2684440361;CISTELAIER SPA;VIA GANDHI MOHANDAS 1;;MODENA;MODENA;41122;59269711;59250165;IT;1868;Public Company;;1976;3679;442703299;;;;;;;147;28886446.00;11541398.00;30726935.00;16672104.00;13978441.00;3A ;1;99;99;99;96;96;98;1700000.00;12025;86;75;EUR
116568;EL;1003030;435450523;MI1144594;7165120150;COEL SRL;GALLERIA MAHATMA KARAMCHAND GANDHI 15;MAZZO;RHO;MILANO;20017;331821732;331833680;IT;1867;Private Limited Company;;1983;3699;435450523;;;;;;;58;10469615.00;2346220.00;6944086.00;5099471.00;3685234.00;2A ;1;99;99;99;94;94;94;890000.00;;84;66;EUR
116568;EL;1002153;429607542;TO641588;4538080013;COMELEC SRL;CORSO TORINO 87/D;FERRIERA;BUTTIGLIERA ALTA;TORINO;10090;119366486;119366486;IT;1867;Private Limited Company;;1983;3679;429607542;;;;;;;44;14980948.00;3157025.00;14539544.00;11614084.00;7271335.00;2A ;1;100;100;100;100;100;100;1300000.00;;82;79;EUR
116568;EL;1002429;444211296;MB1414806;2306510963;COMESTERO SISTEMI SPA;VIA BOLZANO 1/E;;VIMERCATE;MONZA E BRIANZA;20871;39625091;39667479;IT;1868;Public Company;;1993;5063;444211296;444211296;IT;COMESTERO SISTEMI SPA;444211296;IT;COMESTERO SISTEMI SPA;26;13712967.00;4077962.00;8315653.00;7605509.00;2261186.00;2A ;1;98;98;98;98;96;96;1300000.00;;88;79;EUR
116568;EL;1004371;437913346;MI1889919;976750968;CONSYSTEM SRL;VIA ENRICO STENDHAL 55;;MILANO;MILANO;20144;24241471;242291305;IT;1867;Private Limited Company;;1989;5065;437913346;338840876;IT;LIZIUM SPA;338840876;IT;LIZIUM SPA;15;14583692.00;2462357.00;9204396.00;8463239.00;2291318.00;2A ;1;100;100;100;98;98;98;1200000.00;;88;79;EUR
116568;EL;1004193;429257298;TO609387;4023520010;COREX SRL;VIA SAN GIACOMO 8;;BEINASCO;TORINO;10092;;113971436;IT;1867;Private Limited Company;;1982;3699;429257298;;;;;;;13;4606032.00;1907037.00;3568919.00;3452949.00;1413258.00;1A ;1;99;99;99;99;99;99;460000.00;;100;80;EUR
116568;EL;9154;514010016;MI1478808;11585490151;EATON INDUSTRIES (ITALY) SRL;VIA SAN BOVIO 3;;SEGRATE;MILANO;20054;2959501;295950400;IT;1867;Private Limited Company;;1995;5099;514010016;514010016;IT;EATON INDUSTRIES (ITALY) SRL;985419987;IE;EATON CORPORATION PUBLIC LIMITED COMPANY;116;65339500.00;23839149.00;42839132.00;42164726.00;17578242.00;3A ;1;91;91;91;91;75;75;6800000.00;;53;71;EUR
116568;EL;105010;432307296;MI995447;4194450153;ELSAP SPA;VIALE FAMAGOSTA 61;;MILANO;MILANO;20142;236680600;289125304;IT;1868;Public Company;;1978;5065;432307296;;;;;;;25;11260547.00;3472052.00;6328996.00;6214579.00;1707583.00;2A ;1;100;100;100;98;98;98;1200000.00;;91;78;EUR
116568;EL;1010738;339491550;MI1969588;7595130969;FINELINE ITALY SRL;VIA FRATELLI KENNEDY 22/C;;BAGNATICA;BERGAMO;24060;35670282;356668703;IT;1867;Private Limited Company;;2011;5065;339491550;339491550;IT;FINELINE ITALY SRL;659203207;SG;FINELINE GLOBAL PTE. LTD.;13;17127293.00;1280132.00;11063755.00;10463011.00;9674705.00;1A ;2;78;78;86;79;80;80;550000.00;;81;79;EUR
116568;EL;7001;434407248;VA187427;1494860123;G.T.S. ELETTROTECNICA SRL;VIA ENRICO GRIEG 20;;SARONNO;VARESE;21047;;;IT;1867;Private Limited Company;;1984;3621;434407248;;;;;;;11;1166793.00;50691.00;1006176.00;807655.00;527827.00;E  ;3;41;41;41;41;45;45;9200.00;;100;80;EUR
116568;EL;1003915;440499049;MI1653360;3171090966;HILSCHER ITALIA SRL;VIA ACHILLE GRANDI 33;;VIMODRONE;MILANO;20055;225007068;225029973;IT;1867;Private Limited Company;;2001;5065;440499049;440499049;IT;HILSCHER ITALIA SRL;324682541;DE;Hilscher Gesellschaft für Systemautomation mit beschränkter Haftung;3;2515239.00;1062474.00;1538567.00;1534849.00;374841.00;1A ;1;99;99;99;99;98;98;250000.00;;100;78;EUR
116568;EL;1001765;447020905;VI301433;2642920165;ITALOHM SRL;VIA DELLA MECCANICA 13;;VICENZA;VICENZA;36100;444965365;444965366;IT;1867;Private Limited Company;;1998;3676;447020905;447020905;IT;ITALOHM SRL;315536714;DE;ELDRO-Metall + Elektro- GmbH & Co. KG;10;1301572.00;942438.00;1658550.00;1529490.00;436900.00;A  ;1;99;99;99;99;97;97;81000.00;;100;80;EUR
116568;EL;1002594;429030687;MI945476;3229400159;ITELCOND SRL;VIA CARLO ROBERTO DARWIN 19;;SETTIMO MILANESE;MILANO;20019;290362995;290360740;IT;1867;Private Limited Company;;1976;3676;429030687;;;;;;;29;4548831.00;1014282.00;3920107.00;1949284.00;1468423.00;1A ;1;97;97;97;97;36;40;380000.00;;88;76;EUR
116568;EL;3675230126;439797666;VA370768;3675230126;LINTEQ SRL;VIA C.SOLDANI 10;;ANGERA;VARESE;21021;3311587978;;IT;1867;Private Limited Company;;2018;3679;439797666;;;;;;;1;324603.00;32097.00;124498.00;109362.00;68708.00;F  ;2;54;54;54;54;18;18;13000.00;;94;80;EUR
116568;EL;111022;433565207;BG224638;1627130162;LUCHSINGER SRL;VIA BERGAMO 25;;CURNO;BERGAMO;24035;35462678;35462790;IT;1867;Private Limited Company;;1963;5047;433565207;;;;;;;15;6392598.00;5687886.00;8025850.00;6876488.00;1734082.00;2A ;1;100;100;100;100;100;100;610000.00;;92;80;EUR
